,Time(s),ads_mass(g)
238,0.0,0.0
239,0.990278,29.0
240,1.996995,29.80000000000291
241,2.990739,29.599999999998545
242,3.993955,29.400000000001455
243,4.988025,29.80000000000291
244,5.992111,30.400000000001455
245,6.990758,30.599999999998545
246,7.989878,30.599999999998545
247,8.990692,30.599999999998545
248,9.98929,30.599999999998545
249,10.995078,30.80000000000291
250,11.987682,30.80000000000291
251,12.996308,31.0
252,13.999521,30.80000000000291
253,14.990818,30.80000000000291
254,15.997616,30.599999999998545
255,16.989549,30.599999999998545
256,17.996692,30.400000000001455
257,19.003735,30.599999999998545
258,20.008336,31.200000000004366
259,21.006515,32.80000000000291
260,22.007816,33.0
261,23.01243,33.0
262,24.005344,33.0
263,25.018727,33.0
264,26.034061,26.200000000004366
265,27.020543,27.80000000000291
266,28.033223,29.599999999998545
267,29.028534,30.400000000001455
268,30.030508,30.400000000001455
269,31.027662,30.599999999998545
270,32.02711,30.200000000004366
271,33.027401,29.599999999998545
272,34.026699,29.599999999998545
273,35.03102,29.400000000001455
274,36.022053,29.400000000001455
275,37.02588,29.400000000001455
276,38.020819,29.400000000001455
277,39.020454,29.200000000004366
278,40.033308,29.0
279,41.020495,27.400000000001455
280,42.031661,27.200000000004366
281,43.034296,26.80000000000291
282,44.044363,27.0
283,45.047172,27.0
284,46.041529,27.200000000004366
285,47.046205,27.80000000000291
286,48.042056,29.80000000000291
287,49.040196,29.400000000001455
288,50.03932,30.0
289,51.043618,30.200000000004366
290,52.035147,29.599999999998545
291,53.03713,29.200000000004366
292,54.050156,29.400000000001455
293,55.063605,29.80000000000291
294,56.065581,29.599999999998545
295,57.075716,28.400000000001455
296,58.07843,29.0
297,59.06621,28.200000000004366
298,60.075731,29.200000000004366
299,61.076502,29.400000000001455
300,62.072859,29.599999999998545
301,63.077693,27.80000000000291
302,64.072377,32.200000000004366
303,65.081203,29.400000000001455
304,66.086072,28.400000000001455
305,67.095641,29.400000000001455
306,68.082358,27.400000000001455
307,69.094422,27.80000000000291
308,70.083359,29.80000000000291
309,71.096012,23.400000000001455
310,72.094291,27.200000000004366
311,73.094685,28.0
312,74.093412,28.0
313,75.097387,27.599999999998545
314,76.10557,27.0
315,77.113191,26.599999999998545
316,78.119435,26.599999999998545
317,79.120636,28.599999999998545
318,80.118931,28.80000000000291
319,81.11251,28.0
320,82.11499,28.0
321,83.127435,28.200000000004366
322,84.112689,28.400000000001455
323,85.127593,28.400000000001455
324,86.113539,27.400000000001455
325,87.128351,28.200000000004366
326,88.141447,27.0
327,89.134356,32.0
328,90.139634,29.400000000001455
329,91.130568,28.400000000001455
330,92.137192,30.200000000004366
331,93.140084,30.80000000000291
332,94.135236,29.599999999998545
333,95.138459,30.0
334,96.133563,29.599999999998545
335,97.132735,30.400000000001455
336,98.130799,31.0
337,99.141036,31.599999999998545
338,100.128818,29.80000000000291
339,101.135185,30.80000000000291
340,102.129477,30.200000000004366
341,103.139355,29.400000000001455
342,104.139098,32.80000000000291
343,105.13849,28.0
344,106.140598,30.400000000001455
345,107.135905,33.80000000000291
346,108.137732,31.200000000004366
347,109.133672,34.0
348,110.135122,33.200000000004366
349,111.132369,31.400000000001455
350,112.130301,31.0
351,113.141397,33.80000000000291
352,114.129649,31.0
353,115.134046,34.400000000001455
354,116.129954,33.599999999998545
355,117.133029,33.400000000001455
356,118.14179,34.200000000004366
357,119.131592,34.200000000004366
358,120.138738,34.400000000001455
359,121.132786,33.200000000004366
360,122.134783,35.200000000004366
361,123.139841,33.80000000000291
362,124.135941,36.200000000004366
363,125.136434,36.599999999998545
364,126.131333,36.0
365,127.140549,33.80000000000291
366,128.131008,35.0
367,129.140901,35.599999999998545
368,130.142791,42.400000000001455
369,131.140903,36.80000000000291
370,132.141201,37.599999999998545
371,133.131926,37.400000000001455
372,134.13692,37.200000000004366
373,135.132487,33.200000000004366
374,136.135814,35.0
375,137.136158,34.0
376,138.133738,35.400000000001455
377,139.130867,35.80000000000291
378,140.132256,38.400000000001455
379,141.140155,37.200000000004366
380,142.13129,37.0
381,143.13746,36.0
382,144.143202,36.200000000004366
383,145.138145,36.200000000004366
384,146.140543,37.599999999998545
385,147.133877,38.599999999998545
386,148.138895,38.200000000004366
387,149.142816,39.200000000004366
388,150.135745,39.0
389,151.143339,38.80000000000291
390,152.13483,38.80000000000291
391,153.142315,39.0
392,154.131758,40.200000000004366
393,155.138416,39.200000000004366
394,156.144339,39.200000000004366
395,157.150212,40.0
396,158.158677,41.400000000001455
397,159.150233,39.599999999998545
398,160.156205,39.80000000000291
399,161.148592,39.80000000000291
400,162.153899,41.0
401,163.149769,39.80000000000291
402,164.152113,41.400000000001455
403,165.150906,42.599999999998545
404,166.151611,42.0
405,167.148839,43.400000000001455
406,168.148477,42.80000000000291
407,169.149492,42.599999999998545
408,170.159851,42.400000000001455
409,171.166307,42.80000000000291
410,172.173665,44.400000000001455
411,173.162095,44.200000000004366
412,174.170989,43.400000000001455
413,175.171039,43.80000000000291
414,176.170894,44.80000000000291
415,177.163957,44.80000000000291
416,178.165781,44.599999999998545
417,179.164659,45.400000000001455
418,180.16472,47.400000000001455
419,181.163356,46.80000000000291
420,182.161938,46.599999999998545
421,183.164158,47.0
422,184.161922,47.200000000004366
423,185.171927,51.200000000004366
424,186.173,49.599999999998545
425,187.173515,46.599999999998545
426,188.169174,47.599999999998545
427,189.165206,47.599999999998545
428,190.167736,50.0
429,191.166075,49.599999999998545
430,192.166251,48.599999999998545
431,193.174272,48.599999999998545
432,194.16405,48.200000000004366
433,195.174677,48.200000000004366
434,196.163077,48.200000000004366
435,197.172085,50.599999999998545
436,198.174423,48.0
437,199.162952,47.80000000000291
438,200.174936,48.80000000000291
439,201.177527,53.400000000001455
440,202.187033,50.400000000001455
441,203.176815,51.599999999998545
442,204.189204,51.200000000004366
443,205.190889,51.200000000004366
444,206.198528,52.80000000000291
445,207.193205,51.80000000000291
446,208.196095,50.599999999998545
447,209.195774,51.599999999998545
448,210.195128,51.599999999998545
449,211.192848,52.599999999998545
450,212.192461,49.599999999998545
451,213.194195,51.80000000000291
452,214.205499,53.0
453,215.193357,54.400000000001455
454,216.206843,54.0
455,217.2118,53.400000000001455
456,218.216205,52.599999999998545
457,219.210779,55.599999999998545
458,220.215907,54.599999999998545
459,221.219644,54.0
460,222.214384,57.200000000004366
461,223.207692,55.400000000001455
462,224.209716,55.599999999998545
463,225.219026,58.0
464,226.207848,58.200000000004366
465,227.207629,58.80000000000291
466,228.221776,58.599999999998545
467,229.219735,58.0
468,230.217713,57.200000000004366
469,231.213827,57.200000000004366
470,232.215688,57.599999999998545
471,233.213571,57.599999999998545
472,234.212716,58.0
473,235.221161,58.200000000004366
474,236.210679,58.200000000004366
475,237.215432,60.200000000004366
476,238.208391,58.400000000001455
477,239.20857,59.200000000004366
478,240.221676,60.200000000004366
479,241.209401,59.80000000000291
480,242.218974,59.80000000000291
481,243.210651,60.200000000004366
482,244.219632,62.0
483,245.215638,61.80000000000291
484,246.215405,61.400000000001455
485,247.215881,60.599999999998545
486,248.213706,60.599999999998545
487,249.208962,57.80000000000291
488,250.215395,61.80000000000291
489,251.208924,59.80000000000291
490,252.21378,60.0
491,253.210083,59.599999999998545
492,254.22204,59.80000000000291
493,255.226153,61.200000000004366
494,256.237106,62.200000000004366
495,257.22534,64.0
496,258.236422,64.0
497,259.235017,63.80000000000291
498,260.233745,63.599999999998545
499,261.223258,64.20000000000437
500,262.229489,64.59999999999854
501,263.237843,62.400000000001455
502,264.243668,67.40000000000146
503,265.251326,64.20000000000437
504,266.242151,64.80000000000291
505,267.238607,65.20000000000437
506,268.240371,64.20000000000437
507,269.240915,65.20000000000437
508,270.249989,65.80000000000291
509,271.244204,66.80000000000291
510,272.251374,66.59999999999854
511,273.250167,66.80000000000291
512,274.248928,68.40000000000146
513,275.24891,69.0
514,276.246147,69.80000000000291
515,277.239428,66.80000000000291
516,278.241299,66.80000000000291
517,279.253087,68.20000000000437
518,280.257753,69.0
519,281.264276,71.80000000000291
520,282.254564,66.40000000000146
521,283.258423,68.0
522,284.259696,67.40000000000146
523,285.261199,68.0
524,286.266632,72.20000000000437
525,287.263114,73.0
526,288.263344,70.0
527,289.263059,69.80000000000291
528,290.26361,69.40000000000146
529,291.2568,70.20000000000437
530,292.260351,70.59999999999854
531,293.264487,71.40000000000146
532,294.257828,71.20000000000437
533,295.268292,68.59999999999854
534,296.256853,71.20000000000437
535,297.259488,71.20000000000437
536,298.268124,73.40000000000146
537,299.263722,72.80000000000291
538,300.26639,72.40000000000146
539,301.265634,74.59999999999854
540,302.263102,72.59999999999854
541,303.268086,73.20000000000437
